device_device_id,log_id,device_id,device_position_id,action_by,movement,created_at
198063d93970f3b4,105,1039,1,1,ASSIGN,2019-03-01 07:24:26
198063d93970f3b4,106,1039,1,43,UNASSIGN,2019-03-01 07:25:26
