2561-12-19 161700,,,,,,,,,,,,
Start Time,2561/12/19 16:17:00,Timestamp,1545211020248,,,,,,,,,
sensor ID,timestamp (ms),Sample Count,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,mark
5be990fc c4796ef,1545211020266,0,4607.0,511.0,8447.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211020274,1,5631.0,1535.0,8959.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211020304,2,5887.0,2303.0,8703.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211020306,3,5887.0,2303.0,8703.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211020334,4,5631.0,2303.0,8191.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211020364,5,5375.0,1535.0,8959.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211020423,6,5631.0,1535.0,8447.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211020425,7,5631.0,1791.0,8447.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211020485,8,5631.0,2047.0,8447.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211020515,9,5631.0,1791.0,8447.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211020544,10,5631.0,1535.0,8447.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211020574,11,5631.0,1535.0,8447.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211020604,12,5375.0,1535.0,8447.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211020634,13,5375.0,1535.0,8447.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211020664,14,5887.0,1535.0,8703.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211020724,15,5887.0,1535.0,8703.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211020725,16,5631.0,1791.0,8191.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211020754,17,5631.0,1791.0,8447.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211020814,18,5375.0,1791.0,8191.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211020846,19,5375.0,1791.0,8447.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211020874,20,5375.0,1791.0,8191.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211020905,21,5375.0,1791.0,8191.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211020935,22,5631.0,1535.0,8191.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211020965,23,5631.0,1535.0,8191.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211020995,24,5631.0,1791.0,7935.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211021025,25,5375.0,1535.0,7935.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211021055,26,5631.0,1535.0,8191.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211021085,27,5631.0,1791.0,8191.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211021145,28,5631.0,1791.0,7935.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211021175,29,5631.0,1791.0,8191.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1545211021205,30,5631.0,1791.0,7935.0,0.0,0.0,0.0,0.0,0.0,0.0,0
