x,y,z,timestamp
9.131485,-2.7952304,1.3563153,2019-01-04 11:37:15.182
9.131485,-3.0585926,1.3132197,2019-01-04 11:37:15.343
9.2308445,-3.169923,1.2653356,2019-01-04 11:37:15.502
9.106346,-3.0550013,1.3323733,2019-01-04 11:37:15.663
9.1829605,-3.083732,1.2126632,2019-01-04 11:37:15.824
9.317036,-2.9496565,1.1599907,2019-01-04 11:37:15.985
9.613917,-2.657564,0.79607207,2019-01-04 11:37:16.143
9.398438,-2.3080103,1.9117701,2019-01-04 11:37:16.305
8.076839,-3.514688,2.36188,2019-01-04 11:37:16.465
8.277952,-4.1036615,2.6970682,2019-01-04 11:37:16.627
8.49343,-3.9121256,2.658761,2019-01-04 11:37:16.786
8.383297,-3.940856,2.5486276,2019-01-04 11:37:16.948
8.555679,-4.343082,2.2278047,2019-01-04 11:37:17.107
8.857349,-3.7493198,2.3235726,2019-01-04 11:37:17.267
8.435969,-3.3327289,2.6252422,2019-01-04 11:37:17.428
8.479065,-3.5577838,2.9460652,2019-01-04 11:37:17.588
8.139089,-3.691859,2.8455088,2019-01-04 11:37:17.749
8.790312,-3.643975,2.6922798,2019-01-04 11:37:17.909
9.1255,-2.6192567,2.4959552,2019-01-04 11:37:18.071
9.091981,-2.6623523,1.8734628,2019-01-04 11:37:18.231
9.369708,-2.2361844,2.1320367,2019-01-04 11:37:18.392
9.216479,-2.8299465,1.4281414,2019-01-04 11:37:18.553
9.384073,-2.3942018,1.389834,2019-01-04 11:37:18.713
9.379285,-2.1883004,1.4137762,2019-01-04 11:37:18.872
9.384073,-2.2936451,1.5095441,2019-01-04 11:37:19.034
9.144653,-2.4037786,1.6675615,2019-01-04 11:37:19.193
9.24521,-2.408567,1.5813702,2019-01-04 11:37:19.359
9.2547865,-2.2984335,1.8016368,2019-01-04 11:37:19.516
9.216479,-2.2984335,2.1272483,2019-01-04 11:37:19.676
9.173384,-1.9153614,2.3331497,2019-01-04 11:37:19.835
9.1590185,-2.0111294,2.3810337,2019-01-04 11:37:19.997
9.1829605,-2.1930888,2.3427265,2019-01-04 11:37:20.156
9.336189,-2.006341,2.4193408,2019-01-04 11:37:20.317
9.283517,-2.0207062,2.2278047,2019-01-04 11:37:20.485
9.259575,-2.327164,2.160767,2019-01-04 11:37:20.638
9.2547865,-2.0159178,2.1559787,2019-01-04 11:37:20.798
9.269152,-2.2026656,2.1511903,2019-01-04 11:37:20.961
9.269152,-2.1068976,2.1033063,2019-01-04 11:37:21.121
9.293094,-2.15957,2.160767,2019-01-04 11:37:21.28
9.264363,-2.1739352,2.1799207,2019-01-04 11:37:21.441
9.317036,-2.1883004,2.1511903,2019-01-04 11:37:21.601
9.288305,-2.1452048,2.1799207,2019-01-04 11:37:21.763
9.297882,-2.0925324,2.1703439,2019-01-04 11:37:21.923
9.283517,-2.135628,2.2038627,2019-01-04 11:37:22.085
9.27394,-2.0925324,2.184709,2019-01-04 11:37:22.244
9.27394,-2.0590134,2.1990743,2019-01-04 11:37:22.404
9.27394,-2.0207062,2.079364,2019-01-04 11:37:22.564
9.355343,-2.087744,2.1751323,2019-01-04 11:37:22.726
9.594764,-2.1452048,2.2613235,2019-01-04 11:37:22.886
9.293094,-2.0207062,2.136825,2019-01-04 11:37:23.047
9.173384,-1.9297266,2.1320367,2019-01-04 11:37:23.207
9.470264,-2.0590134,2.0458453,2019-01-04 11:37:23.368
9.3026705,-2.1978772,2.1080947,2019-01-04 11:37:23.528
9.336189,-1.9249382,2.1894975,2019-01-04 11:37:23.688
9.27394,-1.6089035,2.1751323,2019-01-04 11:37:23.849
9.613917,-1.9488802,2.0362685,2019-01-04 11:37:24.01
9.202114,-1.5993267,1.8207904,2019-01-04 11:37:24.17
9.652225,-2.0254946,2.280477,2019-01-04 11:37:24.332
9.427169,-1.9057846,2.1511903,2019-01-04 11:37:24.491
9.398438,-1.7046716,2.1942859,2019-01-04 11:37:24.654
9.388862,-1.6903064,2.1990743,2019-01-04 11:37:24.813
9.388862,-1.7429788,2.2469583,2019-01-04 11:37:24.974
9.412804,-1.6041151,2.1655555,2019-01-04 11:37:25.132
9.293094,-1.6280571,2.2756886,2019-01-04 11:37:25.294
9.312247,-1.4939818,2.2421699,2019-01-04 11:37:25.454
9.384073,-1.5993267,2.1176715,2019-01-04 11:37:25.615
9.345766,-1.6711528,2.1942859,2019-01-04 11:37:25.775
9.441534,-1.6376339,2.2996306,2019-01-04 11:37:25.939
9.326612,-1.4796166,2.337938,2019-01-04 11:37:26.098
9.345766,-1.8483237,2.4241292,2019-01-04 11:37:26.257
9.398438,-1.6184803,2.3092074,2019-01-04 11:37:26.418
9.427169,-1.7717092,2.2852654,2019-01-04 11:37:26.578
9.436746,-1.7142484,2.2613235,2019-01-04 11:37:26.739
9.297882,-1.661576,2.4145525,2019-01-04 11:37:26.9
9.326612,-1.8387469,2.4863784,2019-01-04 11:37:27.061
9.321824,-1.8674773,2.4049757,2019-01-04 11:37:27.222
9.345766,-1.6663644,2.337938,2019-01-04 11:37:27.383
9.340978,-1.70946,2.328361,2019-01-04 11:37:27.541
9.321824,-1.7764976,2.3427265,2019-01-04 11:37:27.703
9.340978,-1.685518,2.3475149,2019-01-04 11:37:27.862
9.39365,-1.7477672,2.3092074,2019-01-04 11:37:28.024
9.355343,-1.6567876,2.337938,2019-01-04 11:37:28.183
9.326612,-1.6998832,2.3810337,2019-01-04 11:37:28.346
9.355343,-1.6328455,2.3570917,2019-01-04 11:37:28.506
9.3026705,-1.6567876,2.3475149,2019-01-04 11:37:28.665
9.283517,-1.6519991,2.36188,2019-01-04 11:37:28.826
9.307459,-1.6807296,2.3666685,2019-01-04 11:37:28.986
9.355343,-1.6998832,2.4241292,2019-01-04 11:37:29.147
9.326612,-1.6950948,2.4289176,2019-01-04 11:37:29.307
9.27394,-1.6759412,2.4528596,2019-01-04 11:37:29.468
9.221268,-1.7477672,2.433706,2019-01-04 11:37:29.628
9.269152,-1.7477672,2.553416,2019-01-04 11:37:29.79
9.321824,-1.6089035,2.9029696,2019-01-04 11:37:29.951
9.503783,-2.2026656,3.1663318,2019-01-04 11:37:30.11
8.359355,-1.2497733,4.9045224,2019-01-04 11:37:30.271
7.406463,-1.484405,6.053739,2019-01-04 11:37:30.431
6.3003416,-1.5658079,6.992266,2019-01-04 11:37:30.592
6.137536,-1.5753847,7.265205,2019-01-04 11:37:30.752
6.1040173,-1.8339585,7.6291237,2019-01-04 11:37:30.913
6.0226145,-1.6663644,7.691373,2019-01-04 11:37:31.073
6.171055,-1.7860745,7.619547,2019-01-04 11:37:31.234
6.041768,-1.733402,7.667431,2019-01-04 11:37:31.395
5.959168,-1.6567876,7.627927,2019-01-04 11:37:31.555
6.0597243,-1.7286136,7.680599,2019-01-04 11:37:31.716
5.9160724,-1.6950948,7.73806,2019-01-04 11:37:31.877
5.719748,-1.6424223,7.9966335,2019-01-04 11:37:32.037
5.379771,-2.2888567,8.1402855,2019-01-04 11:37:32.197
4.757279,-2.3223755,8.322245,2019-01-04 11:37:32.358
4.3837833,-2.135628,8.394072,2019-01-04 11:37:32.519
4.1922474,-2.1068976,8.6334915,2019-01-04 11:37:32.681
4.0821137,-2.0398598,8.805874,2019-01-04 11:37:32.841
3.8474822,-1.757344,8.920795,2019-01-04 11:37:33.002
3.6942532,-1.6041151,9.045294,2019-01-04 11:37:33.163
3.359065,-1.5993267,9.26556,2019-01-04 11:37:33.322
3.1004913,-1.5466543,9.184157,2019-01-04 11:37:33.483
3.0238767,-1.5358804,9.149442,2019-01-04 11:37:33.645
3.086126,-1.3826514,9.24521,2019-01-04 11:37:33.803
2.932897,-1.5981296,9.503783,2019-01-04 11:37:33.967
2.966416,-1.5215151,9.451111,2019-01-04 11:37:34.149
3.1292217,-1.258153,9.120711,2019-01-04 11:37:34.282
3.086126,-1.3587095,9.522937,2019-01-04 11:37:34.466
2.2098482,0.11971009,9.307459,2019-01-04 11:37:34.618
1.9656396,0.18674773,9.197326,2019-01-04 11:37:34.765
1.8842367,0.45010993,9.340978,2019-01-04 11:37:34.946
2.0853498,0.22984336,9.508572,2019-01-04 11:37:35.085
2.3008277,0.110133275,9.7240505,2019-01-04 11:37:35.246
2.6312277,-0.05626374,9.54209,2019-01-04 11:37:35.406
2.6264393,0.090979666,9.561244,2019-01-04 11:37:35.568
2.8083985,0.04309563,9.403227,2019-01-04 11:37:35.767
2.468422,0.20590134,9.546879,2019-01-04 11:37:35.888
