x,y,z,timestamp
0.04070143,5.1439424,8.277952,2018-11-12 13:36:41.86
0.045489833,5.1583076,8.067263,2018-11-12 13:36:42.02
0.08379706,5.354632,7.6602483,2018-11-12 13:36:42.183
0.5770026,5.4168816,8.033744,2018-11-12 13:36:42.344
0.5626374,5.839458,7.9930425,2018-11-12 13:36:42.507
1.5011644,5.542577,7.949947,2018-11-12 13:36:42.671
2.3295584,5.7149596,7.514202,2018-11-12 13:36:42.831
2.5450363,5.753267,7.4615297,2018-11-12 13:36:42.994
1.8459295,5.011064,7.763199,2018-11-12 13:36:43.156
1.6448165,3.952827,9.01776,2018-11-12 13:36:43.318
1.8698715,3.6655228,8.395268,2018-11-12 13:36:43.481
1.5777789,4.6279917,9.266758,2018-11-12 13:36:43.643
1.6639702,4.4699745,8.687361,2018-11-12 13:36:43.807
1.5682021,3.550601,9.166202,2018-11-12 13:36:43.968
1.4293385,3.5553896,9.041702,2018-11-12 13:36:44.135
1.2904748,3.5075054,9.305065,2018-11-12 13:36:44.292
1.3575124,3.6415808,9.051279,2018-11-12 13:36:44.457
1.2808979,3.4691982,9.137471,2018-11-12 13:36:44.618
1.3718776,3.6176388,8.998607,2018-11-12 13:36:44.78
1.376666,3.6990416,8.998607,2018-11-12 13:36:44.944
1.079785,-1.4137762,9.415198,2018-11-12 13:36:45.105
1.127669,-8.002619,6.6522894,2018-11-12 13:36:45.267
1.7980455,-6.9012866,5.54138,2018-11-12 13:36:45.429
1.6591818,-7.27957,6.0202203,2018-11-12 13:36:45.592
1.4149733,-8.040926,5.675455,2018-11-12 13:36:45.754
1.7022774,-8.553286,4.4113164,2018-11-12 13:36:45.918
1.1899183,-9.17099,4.995502,2018-11-12 13:36:46.078
0.62967503,0.37588966,10.511743,2018-11-12 13:36:46.24
2.2625206,3.1004913,8.735245,2018-11-12 13:36:46.405
1.7070658,2.966416,9.333796,2018-11-12 13:36:46.565
1.6639702,2.693477,8.931569,2018-11-12 13:36:46.729
1.2234371,4.489128,9.276335,2018-11-12 13:36:46.89
1.5011644,3.5314474,9.089587,2018-11-12 13:36:47.054
1.2473791,3.8522706,8.993818,2018-11-12 13:36:47.218
0.7015011,3.5314474,8.194156,2018-11-12 13:36:47.38
0.088585466,1.4101849,9.14226,2018-11-12 13:36:47.544
0.11731588,0.20829555,9.855731,2018-11-12 13:36:47.703
0.21787235,0.8355764,10.0664215,2018-11-12 13:36:47.867
-0.12090719,-0.130484,9.922769,2018-11-12 13:36:48.027
-0.59495914,-1.1647792,9.764751,2018-11-12 13:36:48.191
-0.5614403,-0.7769185,9.846154,2018-11-12 13:36:48.355
-0.7721301,-0.7433996,10.028113,2018-11-12 13:36:48.519
-0.49440265,-0.34117374,9.879673,2018-11-12 13:36:48.675
-0.5327099,-0.4225766,9.941922,2018-11-12 13:36:48.844
-0.6332663,-0.45968673,9.916783,2018-11-12 13:36:49.003
-0.5758055,-0.4261679,9.821015,2018-11-12 13:36:49.165
-0.700304,-0.6799533,9.849746,2018-11-12 13:36:49.326
-0.5518635,-0.5650316,9.773131,2018-11-12 13:36:49.49
-0.676362,-0.48362875,9.92636,2018-11-12 13:36:49.651
-0.4321534,-0.33039984,9.725247,2018-11-12 13:36:49.812
-0.60932434,-0.6464345,9.902418,2018-11-12 13:36:49.977
-0.5327099,-0.7757214,9.667787,2018-11-12 13:36:50.14
-0.47046062,-0.2633622,9.500193,2018-11-12 13:36:50.303
-0.59017074,-0.30166942,9.749189,2018-11-12 13:36:50.462
-0.6811504,0.09935937,10.01734,2018-11-12 13:36:50.626
-0.6619968,0.41060558,10.01734,2018-11-12 13:36:50.786
-0.45609543,0.60693014,9.878476,2018-11-12 13:36:50.95
-0.4177882,0.760159,9.878476,2018-11-12 13:36:51.112
-0.50397944,0.88944596,9.921572,2018-11-12 13:36:51.275
-0.46088383,1.5741876,10.199299,2018-11-12 13:36:51.439
-0.25019407,0.52073884,9.691729,2018-11-12 13:36:51.601
1.4389153,1.6747441,9.615114,2018-11-12 13:36:51.761
2.4396915,3.072958,9.275137,2018-11-12 13:36:51.924
2.8993783,2.5270798,8.805874,2018-11-12 13:36:52.088
2.396596,2.622848,8.690952,2018-11-12 13:36:52.253
2.3056161,3.0873232,8.930372,2018-11-12 13:36:52.412
2.171541,2.4887726,9.078813,2018-11-12 13:36:52.574
2.396596,0.82240826,9.361329,2018-11-12 13:36:52.737
2.2242134,2.9819782,9.552865,2018-11-12 13:36:52.9
2.56419,4.7058034,8.571242,2018-11-12 13:36:53.061
2.0039468,4.1503487,8.676587,2018-11-12 13:36:53.222
1.7836803,3.2980127,9.059659,2018-11-12 13:36:53.384
1.0702082,3.0585926,9.643845,2018-11-12 13:36:53.546
1.1994951,3.4751837,9.141062,2018-11-12 13:36:53.708
1.4532804,3.551798,8.963891,2018-11-12 13:36:53.874
1.3670892,3.5853171,9.059659,2018-11-12 13:36:54.033
1.376666,3.6954503,8.968679,2018-11-12 13:36:54.196
1.2569559,3.78643,9.227253,2018-11-12 13:36:54.358
0.31364042,7.0090256,7.302315,2018-11-12 13:36:54.519
2.3008277,3.1064768,9.045294,2018-11-12 13:36:54.682
2.5737667,2.4121583,9.141062,2018-11-12 13:36:54.844
3.2393548,0.8750807,10.582372,2018-11-12 13:36:55.01
2.3774424,4.3179426,8.614338,2018-11-12 13:36:55.169
2.4540567,3.9109285,8.5473,2018-11-12 13:36:55.335
1.9608512,4.083311,8.619126,2018-11-12 13:36:55.498
1.3814543,3.537433,9.442732,2018-11-12 13:36:55.66
3.4452562,0.8511387,8.892065,2018-11-12 13:36:55.819
4.8147397,-9.275137,1.1923125,2018-11-12 13:36:55.984
3.7804444,-4.8267107,7.929596,2018-11-12 13:36:56.143
2.9281087,-6.861782,6.6367273,2018-11-12 13:36:56.308
3.2154129,-5.521029,6.871359,2018-11-12 13:36:56.469
3.7086184,-5.9519854,6.7708025,2018-11-12 13:36:56.63
1.2665327,-0.45010993,8.805874,2018-11-12 13:36:56.795
1.7836803,2.8766334,9.471462,2018-11-12 13:36:56.957
1.8076223,3.8534677,9.078813,2018-11-12 13:36:57.118
1.7501614,3.882198,8.671799,2018-11-12 13:36:57.285
1.4101849,4.0066967,8.848969,2018-11-12 13:36:57.443
1.4053963,3.882198,8.801085,2018-11-12 13:36:57.612
1.3670892,4.284424,8.810662,2018-11-12 13:36:57.77
1.5586253,4.3514614,8.470686,2018-11-12 13:36:57.935
1.6400281,4.2700586,8.628703,2018-11-12 13:36:58.094
1.6591818,4.4424415,8.719683,2018-11-12 13:36:58.254
1.7980455,4.0785227,8.523358,2018-11-12 13:36:58.418
1.6831238,4.2700586,8.710106,2018-11-12 13:36:58.578
1.7166426,4.179079,8.695741,2018-11-12 13:36:58.74
1.673547,3.9444473,8.820239,2018-11-12 13:36:58.903
1.7597382,4.361038,8.743625,2018-11-12 13:36:59.068
1.3096284,2.0721815,9.811439,2018-11-12 13:36:59.227
1.3096284,-5.7269306,7.431602,2018-11-12 13:36:59.39
2.2529438,-7.603985,5.473145,2018-11-12 13:36:59.555
2.2960393,-8.537724,5.0421886,2018-11-12 13:36:59.717
2.9855695,-6.0142345,6.531382,2018-11-12 13:36:59.879
2.918532,-6.5218053,7.144298,2018-11-12 13:37:00.042
2.80361,-6.205771,6.6175733,2018-11-12 13:37:00.202
2.5067291,-6.2249246,7.2304893,2018-11-12 13:37:00.365
2.3822308,-6.1387334,7.1586633,2018-11-12 13:37:00.528
2.0326772,-6.229713,7.101202,2018-11-12 13:37:00.69
1.7310078,-6.494272,7.681796,2018-11-12 13:37:00.854
1.5442601,-6.0585275,7.04015,2018-11-12 13:37:01.015
1.1994951,-6.6762314,7.2460513,2018-11-12 13:37:01.184
2.0374656,-5.483919,6.7863646,2018-11-12 13:37:01.343
2.822764,-5.3498435,8.256405,2018-11-12 13:37:01.503
3.4021606,-4.7417164,7.825448,2018-11-12 13:37:01.67
3.9959226,-5.187038,6.7001734,2018-11-12 13:37:01.83
4.211401,-7.337031,6.853402,2018-11-12 13:37:01.992
3.4931402,-5.8813562,7.2747817,2018-11-12 13:37:02.153
4.5322237,-5.345055,6.757634,2018-11-12 13:37:02.316
4.187459,-5.1247888,6.1303535,2018-11-12 13:37:02.477
3.1962593,-7.2364745,6.0345855,2018-11-12 13:37:02.646
3.4835634,-6.8773446,6.791153,2018-11-12 13:37:02.802
2.554613,-5.7616463,7.4854717,2018-11-12 13:37:02.965
5.3079453,-1.1360487,7.097611,2018-11-12 13:37:03.135
7.132327,-2.4480712,6.82946,2018-11-12 13:37:03.293
6.2368956,-2.2517467,7.064092,2018-11-12 13:37:03.45
6.1076083,-2.4289176,7.60997,2018-11-12 13:37:03.614
3.4356794,-3.1184478,8.280347,2018-11-12 13:37:03.777
1.9129672,-4.373009,8.663419,2018-11-12 13:37:03.943
-3.0370448,-3.654749,9.487024,2018-11-12 13:37:04.105
-2.5198972,-2.0697873,8.495825,2018-11-12 13:37:04.267
-2.7832594,-2.754529,9.118318,2018-11-12 13:37:04.425
-4.033033,-3.0178912,8.41921,2018-11-12 13:37:04.589
-3.2908301,-3.2668881,8.519767,2018-11-12 13:37:04.749
-3.2668881,-3.2860417,8.534132,2018-11-12 13:37:04.911
-2.0410569,-2.0697873,8.84059,2018-11-12 13:37:05.075
1.3144168,4.3598413,8.893262,2018-11-12 13:37:05.236
2.0901382,5.073313,8.754398,2018-11-12 13:37:05.397
3.3925838,4.5034933,9.041702,2018-11-12 13:37:05.565
2.3247697,2.3582888,8.055291,2018-11-12 13:37:05.731
2.4588451,3.1004913,8.395268,2018-11-12 13:37:05.89
1.2761095,1.0223241,9.012972,2018-11-12 13:37:06.049
1.3814543,1.9752164,9.707291,2018-11-12 13:37:06.213
0.9744401,1.448492,9.927557,2018-11-12 13:37:06.373
1.1947067,1.2617443,9.79827,2018-11-12 13:37:06.539
0.9504981,3.1675289,10.119094,2018-11-12 13:37:06.703
2.0757728,-1.0259154,8.60117,2018-11-12 13:37:06.865
2.7700913,-3.549404,10.0903635,2018-11-12 13:37:07.024
2.3918076,-3.9324763,10.119094,2018-11-12 13:37:07.187
3.5553896,-2.36188,9.051279,2018-11-12 13:37:07.347
3.3399115,-0.8343793,9.094376,2018-11-12 13:37:07.511
-2.8502972,2.291251,9.362526,2018-11-12 13:37:07.67
1.4053963,1.99437,10.406398,2018-11-12 13:37:07.834
-0.6907272,1.8171991,9.309854,2018-11-12 13:37:07.996
0.4189853,2.0135236,9.4535055,2018-11-12 13:37:08.161
0.7733272,2.0278888,9.491813,2018-11-12 13:37:08.324
0.45729253,1.8650831,9.616311,2018-11-12 13:37:08.484
0.25617957,2.6839,9.190144,2018-11-12 13:37:08.654
0.15562311,1.6065093,10.042479,2018-11-12 13:37:08.81
-0.25498247,1.8076223,9.807847,2018-11-12 13:37:08.98
-0.14963761,1.4149733,9.76954,2018-11-12 13:37:09.134
-0.14963761,1.5251064,9.721656,2018-11-12 13:37:09.296
-0.16400282,1.4293385,9.76954,2018-11-12 13:37:09.456
-0.20231004,1.448492,9.731233,2018-11-12 13:37:09.62
-0.23582886,1.4760253,9.730036,2018-11-12 13:37:09.781
-0.17357962,1.4951789,9.734824,2018-11-12 13:37:09.945
-0.1448492,1.5191209,9.753978,2018-11-12 13:37:10.106
-0.22146365,1.0881647,9.950302,2018-11-12 13:37:10.271
0.34715924,2.1272483,9.528923,2018-11-12 13:37:10.431
0.6727707,2.4863784,9.442732,2018-11-12 13:37:10.594
0.6775591,2.4720132,9.44752,2018-11-12 13:37:10.758
0.82121116,2.6013002,9.481039,2018-11-12 13:37:10.92
0.9935937,2.7257986,9.385271,2018-11-12 13:37:11.079
1.1133038,2.9125464,9.390059,2018-11-12 13:37:11.241
2.885013,4.0378213,8.825027,2018-11-12 13:37:11.407
1.745373,3.549404,9.006987,2018-11-12 13:37:11.566
-2.658761,0.997185,9.222465,2018-11-12 13:37:11.728
1.079785,2.8981812,9.232041,2018-11-12 13:37:11.893
0.6344634,2.2756886,9.069236,2018-11-12 13:37:12.053
0.088585466,3.027468,8.925584,2018-11-12 13:37:12.215
0.1604115,2.232593,10.352529,2018-11-12 13:37:12.378
0.51954174,1.5382746,9.710882,2018-11-12 13:37:12.54
0.4285621,3.0226796,9.088389,2018-11-12 13:37:12.702
0.6871359,4.0378213,8.437167,2018-11-12 13:37:12.864
0.40940848,3.606865,9.203311,2018-11-12 13:37:13.029
0.1412579,3.0992942,9.241618,2018-11-12 13:37:13.189
1.4149733,3.4440591,8.968679,2018-11-12 13:37:13.353
1.1851299,2.4911668,9.303867,2018-11-12 13:37:13.515
0.7637503,1.887828,9.677363,2018-11-12 13:37:13.676
0.61530983,1.79206,9.629479,2018-11-12 13:37:13.839
0.5530606,1.9021933,9.797073,2018-11-12 13:37:14.003
0.06464344,0.89662856,9.696517,2018-11-12 13:37:14.163
-0.05865794,1.1168951,9.782708,2018-11-12 13:37:14.328
-0.06823475,0.92057055,9.811439,2018-11-12 13:37:14.488
0.055066638,1.0690111,9.476251,2018-11-12 13:37:14.65
-0.1592144,1.0785879,9.792285,2018-11-12 13:37:14.814
-0.14963761,1.1216835,9.801862,2018-11-12 13:37:14.975
-0.19273324,1.0594343,9.816227,2018-11-12 13:37:15.138
-0.23582886,1.0546459,9.859323,2018-11-12 13:37:15.301
-0.16400282,0.9828198,9.797073,2018-11-12 13:37:15.462
-0.17836803,0.7194576,9.811439,2018-11-12 13:37:15.624
-0.19273324,0.5518635,9.797073,2018-11-12 13:37:15.789
-0.21188685,0.8583213,9.864111,2018-11-12 13:37:15.949
-0.14963761,0.8535329,9.782708,2018-11-12 13:37:16.111
-0.1400608,0.80086046,9.816227,2018-11-12 13:37:16.274
-0.15442601,0.78649527,9.849746,2018-11-12 13:37:16.438
-0.17836803,0.7433996,9.840169,2018-11-12 13:37:16.599
-0.130484,0.82480246,9.816227,2018-11-12 13:37:16.762
-0.18315643,0.8822633,9.811439,2018-11-12 13:37:16.923
-0.1400608,0.82001406,9.835381,2018-11-12 13:37:17.087
-0.15442601,0.8631097,9.811439,2018-11-12 13:37:17.247
-0.21667525,0.700304,9.844957,2018-11-12 13:37:17.41
-0.19273324,0.6476316,9.835381,2018-11-12 13:37:17.573
-0.14963761,0.7146692,9.797073,2018-11-12 13:37:17.736
-0.17357962,0.7721301,9.835381,2018-11-12 13:37:17.898
-0.10654198,0.724246,9.80665,2018-11-12 13:37:18.059
-0.18794483,0.6715736,9.825804,2018-11-12 13:37:18.223
-0.16879122,0.6667852,9.825804,2018-11-12 13:37:18.389
-0.1352724,0.6859388,9.797073,2018-11-12 13:37:18.548
-0.21188685,0.65242,9.840169,2018-11-12 13:37:18.709
-0.20709845,0.65242,9.854534,2018-11-12 13:37:18.875
-0.029927522,0.8535329,9.701305,2018-11-12 13:37:19.035
-0.19752164,0.7146692,9.931149,2018-11-12 13:37:19.2
-0.06344634,0.6811504,9.825804,2018-11-12 13:37:19.36
-0.1448492,0.7433996,9.825804,2018-11-12 13:37:19.522
-0.16879122,0.6667852,9.835381,2018-11-12 13:37:19.683
-0.16879122,0.59974754,9.787497,2018-11-12 13:37:19.851
-0.18315643,0.6619968,9.849746,2018-11-12 13:37:20.01
-0.22625206,0.51834464,9.864111,2018-11-12 13:37:20.175
-0.19752164,0.6428431,9.883265,2018-11-12 13:37:20.333
