x,y,z,timestamp
0.45250413,0.8655039,9.378088,2018-10-19 23:28:59.037
0.28491,0.9900024,9.40203,2018-10-19 23:28:59.19
0.32800564,0.985214,9.506178,2018-10-19 23:28:59.351
0.33758244,0.961272,9.443929,2018-10-19 23:28:59.511
0.38067806,1.0666169,9.4774475,2018-10-19 23:28:59.673
0.2705448,0.7170634,9.392453,2018-10-19 23:28:59.832
0.22744916,1.2533646,9.491813,2018-10-19 23:28:59.992
0.2801216,0.8607155,9.40203,2018-10-19 23:29:00.153
1.055843,3.0095115,12.149377,2018-10-19 23:29:00.313
1.1659763,-6.6175733,7.491457,2018-10-19 23:29:00.475
-0.23104046,2.7988217,-2.160767,2018-10-19 23:29:00.635
-9.712079,-23.127989,13.063962,2018-10-19 23:29:00.794
2.018312,10.608707,-14.375984,2018-10-19 23:29:00.955
-9.985018,-38.602913,14.711172,2018-10-19 23:29:01.117
8.02297,4.4220905,-22.81315,2018-10-19 23:29:01.275
12.862848,-18.914194,-0.5614403,2018-10-19 23:29:01.437
0.25139117,-13.551182,2.3056161,2018-10-19 23:29:01.598
-0.59495914,10.019734,-6.455965,2018-10-19 23:29:01.756
-14.6680765,-39.139214,5.533,2018-10-19 23:29:01.917
9.443929,1.1719618,-21.156363,2018-10-19 23:29:02.078
10.626664,-14.106636,1.2952632,2018-10-19 23:29:02.237
-2.3906105,-20.36508,0.89782566,2018-10-19 23:29:02.403
-5.6658783,11.7148285,-9.908403,2018-10-19 23:29:02.558
7.2711906,-32.57072,-12.848483,2018-10-19 23:29:02.718
1.7884687,-10.620679,-3.807978,2018-10-19 23:29:02.879
-0.40821138,12.126632,-17.071856,2018-10-19 23:29:03.042
-15.43901,-35.573048,14.792575,2018-10-19 23:29:03.2
-0.5614403,3.7900212,-1.0067618,2018-10-19 23:29:03.362
-1.3994108,2.2529438,-2.505532,2018-10-19 23:29:03.523
9.0237465,-15.739482,13.705607,2018-10-19 23:29:03.681
-0.61890113,-11.784261,1.9752164,2018-10-19 23:29:03.842
10.650606,-12.421119,2.2577322,2018-10-19 23:29:04.005
6.409278,-6.9719152,3.004723,2018-10-19 23:29:04.164
7.079654,-4.7644615,0.50517654,2018-10-19 23:29:04.324
10.803835,-3.193865,0.48123455,2018-10-19 23:29:04.485
7.6734166,-1.3215994,0.5530606,2018-10-19 23:29:04.647
8.243237,-5.592855,1.1803415,2018-10-19 23:29:04.805
9.712079,-12.53604,3.1292217,2018-10-19 23:29:04.964
0.6871359,-1.484405,9.109938,2018-10-19 23:29:05.126
-6.4032927,-4.1611223,4.891354,2018-10-19 23:29:05.285
-1.8686744,-4.3047748,7.36217,2018-10-19 23:29:05.447
0.37110126,-2.7150247,8.966286,2018-10-19 23:29:05.607
4.733337,-4.582502,9.965864,2018-10-19 23:29:05.768
0.4333505,-0.46447513,9.640253,2018-10-19 23:29:05.927
0.7206547,-1.7381904,9.272743,2018-10-19 23:29:06.089
0.4333505,-2.0207062,9.5253315,2018-10-19 23:29:06.249
0.3184288,-1.9440918,9.287108,2018-10-19 23:29:06.409
0.1604115,-2.4372973,9.0476885,2018-10-19 23:29:06.57
0.088585466,-1.9919758,9.434352,2018-10-19 23:29:06.731
-0.59495914,-2.4660277,9.397242,2018-10-19 23:29:06.89
0.2705448,-2.633622,9.229648,2018-10-19 23:29:07.052
0.007182605,-2.6767175,9.291897,2018-10-19 23:29:07.211
-0.06344634,-2.6671407,9.306262,2018-10-19 23:29:07.37
-0.08738836,-2.6288335,9.301474,2018-10-19 23:29:07.531
-0.06823475,-2.4516625,9.358934,2018-10-19 23:29:07.691
-0.14963761,-2.7246015,9.272743,2018-10-19 23:29:07.852
-0.1400608,-2.60968,9.267955,2018-10-19 23:29:08.015
-0.077811554,-2.6001031,9.349358,2018-10-19 23:29:08.173
-0.005985504,-2.6192567,9.334992,2018-10-19 23:29:08.333
-0.11133038,-2.5905263,9.267955,2018-10-19 23:29:08.493
-0.044292733,-2.360683,9.368511,2018-10-19 23:29:08.654
-0.039504327,-2.1068976,9.41041,2018-10-19 23:29:08.816
-0.29328972,-1.9680338,9.41041,2018-10-19 23:29:08.974
-0.2741361,-1.5658079,9.229648,2018-10-19 23:29:09.135
-1.34195,-3.5338416,8.856153,2018-10-19 23:29:09.296
-0.7338228,-4.2425256,8.813056,2018-10-19 23:29:09.456
-0.94930094,-4.0701427,8.736442,2018-10-19 23:29:09.616
-0.80564886,-3.9743748,8.908825,2018-10-19 23:29:09.776
-0.94451255,-3.9504328,8.817844,2018-10-19 23:29:09.937
-1.0546459,-4.074931,8.765172,2018-10-19 23:29:10.099
-0.9876082,-3.9935284,8.803479,2018-10-19 23:29:10.257
-0.8343793,-3.9073372,8.9040365,2018-10-19 23:29:10.419
-0.90141696,-3.8259344,8.913613,2018-10-19 23:29:10.58
-1.021127,-3.787627,8.832211,2018-10-19 23:29:10.74
-0.7577648,-3.6870706,8.937555,2018-10-19 23:29:10.9
-0.7529764,-3.8738184,8.865729,2018-10-19 23:29:11.06
