hr,timestamp
67.922165,2019-01-04 11:39:35.83
67.82158,2019-01-04 11:39:36.953
68.47071,2019-01-04 11:39:38.019
69.46179,2019-01-04 11:39:39.117
70.60843,2019-01-04 11:39:40.217
78.87454,2019-01-04 11:39:41.357
83.0076,2019-01-04 11:39:42.458
85.07413,2019-01-04 11:39:43.558
74.57602,2019-01-04 11:39:44.664
69.326965,2019-01-04 11:39:45.747
66.70244,2019-01-04 11:39:46.837
67.30652,2019-01-04 11:39:47.937
71.01529,2019-01-04 11:39:49.017
72.869675,2019-01-04 11:39:50.113
73.79686,2019-01-04 11:39:51.258
73.52442,2019-01-04 11:39:52.421
72.691895,2019-01-04 11:39:53.498
71.61679,2019-01-04 11:39:54.605
70.04738,2019-01-04 11:39:55.784
69.09828,2019-01-04 11:39:56.877
68.62373,2019-01-04 11:39:57.973
68.38646,2019-01-04 11:39:59.067
68.26782,2019-01-04 11:40:00.159
67.89676,2019-01-04 11:40:01.257
63.493023,2019-01-04 11:40:02.358
61.267975,2019-01-04 11:40:03.458
60.155453,2019-01-04 11:40:04.553
59.622368,2019-01-04 11:40:05.648
61.81769,2019-01-04 11:40:06.737
63.11109,2019-01-04 11:40:07.842
63.757793,2019-01-04 11:40:08.927
63.95227,2019-01-04 11:40:10.027
64.049515,2019-01-04 11:40:11.13
64.227005,2019-01-04 11:40:12.217
64.82535,2019-01-04 11:40:13.316
65.12453,2019-01-04 11:40:14.417
65.276535,2019-01-04 11:40:15.514
65.50438,2019-01-04 11:40:16.608
71.857605,2019-01-04 11:40:17.714
75.03422,2019-01-04 11:40:18.787
76.62253,2019-01-04 11:40:19.889
76.1405,2019-01-04 11:40:20.987
75.244125,2019-01-04 11:40:22.087
73.70504,2019-01-04 11:40:23.197
72.83546,2019-01-04 11:40:24.287
72.34772,2019-01-04 11:40:25.357
71.23769,2019-01-04 11:40:26.467
65.64068,2019-01-04 11:40:27.567
62.84217,2019-01-04 11:40:28.648
61.015343,2019-01-04 11:40:29.745
60.10193,2019-01-04 11:40:30.837
59.72292,2019-01-04 11:40:31.942
59.32956,2019-01-04 11:40:33.027
58.990673,2019-01-04 11:40:34.127
57.79297,2019-01-04 11:40:35.215
55.77127,2019-01-04 11:40:36.326
54.70948,2019-01-04 11:40:37.407
53.74803,2019-01-04 11:40:38.506
53.267307,2019-01-04 11:40:39.606
53.026947,2019-01-04 11:40:40.696
56.01691,2019-01-04 11:40:41.796
57.511894,2019-01-04 11:40:42.977
58.259384,2019-01-04 11:40:44.036
58.472458,2019-01-04 11:40:45.138
58.578995,2019-01-04 11:40:46.216
58.632263,2019-01-04 11:40:47.317
58.841164,2019-01-04 11:40:48.408
74.15429,2019-01-04 11:40:49.501
81.81085,2019-01-04 11:40:50.616
85.63913,2019-01-04 11:40:51.707
87.49448,2019-01-04 11:40:52.798
81.691574,2019-01-04 11:40:53.898
78.60176,2019-01-04 11:40:54.977
76.73257,2019-01-04 11:40:56.083
75.79797,2019-01-04 11:40:57.167
75.05942,2019-01-04 11:40:58.267
73.4176,2019-01-04 11:40:59.367
71.93503,2019-01-04 11:41:00.457
71.19374,2019-01-04 11:41:01.558
70.355576,2019-01-04 11:41:02.657
69.74388,2019-01-04 11:41:03.747
66.99989,2019-01-04 11:41:04.837
65.6279,2019-01-04 11:41:05.938
64.941895,2019-01-04 11:41:07.037
65.194595,2019-01-04 11:41:08.137
65.320946,2019-01-04 11:41:09.236
65.384125,2019-01-04 11:41:10.327
63.9625,2019-01-04 11:41:11.417
58.568863,2019-01-04 11:41:12.517
55.872047,2019-01-04 11:41:13.648
54.523636,2019-01-04 11:41:14.747
54.559105,2019-01-04 11:41:15.848
55.674114,2019-01-04 11:41:17.037
56.474403,2019-01-04 11:41:18.119
58.40298,2019-01-04 11:41:19.216
61.22917,2019-01-04 11:41:20.309
62.64227,2019-01-04 11:41:21.407
63.348816,2019-01-04 11:41:22.517
61.9244,2019-01-04 11:41:23.616
61.04208,2019-01-04 11:41:24.707
59.909565,2019-01-04 11:41:25.788
59.343307,2019-01-04 11:41:26.887
58.635345,2019-01-04 11:41:27.977
57.574833,2019-01-04 11:41:29.077
56.989376,2019-01-04 11:41:30.186
56.696648,2019-01-04 11:41:31.267
56.550285,2019-01-04 11:41:32.368
56.49142,2019-01-04 11:41:33.466
57.082134,2019-01-04 11:41:34.557
57.37749,2019-01-04 11:41:35.658
57.52517,2019-01-04 11:41:36.757
56.99092,2019-01-04 11:41:37.848
56.723793,2019-01-04 11:41:38.948
56.415417,2019-01-04 11:41:40.042
55.99836,2019-01-04 11:41:41.137
55.683167,2019-01-04 11:41:42.227
55.525566,2019-01-04 11:41:43.327
55.44677,2019-01-04 11:41:44.427
61.6056,2019-01-04 11:41:45.528
65.364975,2019-01-04 11:41:46.627
67.24467,2019-01-04 11:41:47.716
67.50455,2019-01-04 11:41:48.797
67.056625,2019-01-04 11:41:49.908
61.033257,2019-01-04 11:41:50.987
58.021576,2019-01-04 11:41:52.084
56.149105,2019-01-04 11:41:53.277
55.212868,2019-01-04 11:41:54.377
55.11138,2019-01-04 11:41:55.477
55.13701,2019-01-04 11:41:56.557
55.149826,2019-01-04 11:41:57.658
55.547607,2019-01-04 11:41:58.758
56.057133,2019-01-04 11:41:59.864
56.471893,2019-01-04 11:42:00.958
82.46593,2019-01-04 11:42:02.05
95.46295,2019-01-04 11:42:03.179
101.96146,2019-01-04 11:42:04.282
86.77982,2019-01-04 11:42:05.396
79.18901,2019-01-04 11:42:06.524
74.72931,2019-01-04 11:42:07.604
72.52652,2019-01-04 11:42:08.705
71.30186,2019-01-04 11:42:09.794
70.81279,2019-01-04 11:42:10.895
70.44499,2019-01-04 11:42:11.997
