x,y,z,timestamp
-0.36870706,3.7493198,9.0429,2018-12-11 16:51:50.986
0.36272156,3.691859,8.865729,2018-12-11 16:51:51.163
0.7266402,3.9504328,8.9040365,2018-12-11 16:51:51.277
0.6500258,3.667917,8.92319,2018-12-11 16:51:51.284
0.6691794,3.715801,8.985439,2018-12-11 16:51:51.431
0.90381116,3.5817258,8.875306,2018-12-11 16:51:51.604
0.8655039,3.6774938,8.947132,2018-12-11 16:51:51.752
0.88944596,3.6391866,8.870518,2018-12-11 16:51:51.914
0.8607155,3.6774938,8.880095,2018-12-11 16:51:52.1
-0.08140286,4.462792,8.525752,2018-12-11 16:51:52.237
-5.046977,5.9184666,7.041347,2018-12-11 16:51:52.394
-6.555324,4.783615,2.9376855,2018-12-11 16:51:52.595
-10.548853,5.2720323,0.7158663,2018-12-11 16:51:52.718
-8.293514,5.434838,2.219425,2018-12-11 16:51:52.921
-3.821146,2.9400797,3.7660792,2018-12-11 16:51:53.216
1.0666169,-0.50158525,9.378088,2018-12-11 16:51:53.227
2.6659436,-2.2349873,9.028535,2018-12-11 16:51:53.363
-1.2689269,-3.335123,10.69011,2018-12-11 16:51:53.531
0.37229836,0.59376204,9.176975,2018-12-11 16:51:53.682
2.7281928,-0.5303157,7.639898,2018-12-11 16:51:53.841
0.22385786,0.02873042,9.454702,2018-12-11 16:51:54.004
0.15203181,-0.18076223,10.139444,2018-12-11 16:51:54.163
-0.32561144,0.12449849,10.5704,2018-12-11 16:51:54.351
1.2916719,-0.34356794,10.043676,2018-12-11 16:51:54.487
1.1767502,-1.258153,9.7084875,2018-12-11 16:51:54.645
1.3251907,-1.1671734,9.775525,2018-12-11 16:51:54.806
1.9428947,-1.1671734,9.0476885,2018-12-11 16:51:54.974
1.5693992,-0.91817635,8.889671,2018-12-11 16:51:55.128
1.4401124,-0.2669535,8.846576,2018-12-11 16:51:55.289
1.0857705,0.60333884,10.158598,2018-12-11 16:51:55.451
0.38187516,1.2354081,10.469844,2018-12-11 16:51:55.61
0.17118542,1.508347,10.254366,2018-12-11 16:51:55.772
0.38187516,1.2497733,9.497798,2018-12-11 16:51:55.932
0.17597382,1.2258313,9.531317,2018-12-11 16:51:56.098
0.2861071,1.4030021,9.885659,2018-12-11 16:51:56.254
0.40581718,0.94810385,9.928755,2018-12-11 16:51:56.415
0.40581718,0.6943185,10.431537,2018-12-11 16:51:56.576
0.7697359,0.59855044,9.871294,2018-12-11 16:51:56.737
1.0283096,0.5315128,9.085996,2018-12-11 16:51:56.896
0.985214,-0.04189853,10.168175,2018-12-11 16:51:57.058
1.459266,0.22984336,10.010158,2018-12-11 16:51:57.218
1.6651673,0.01436521,9.569624,2018-12-11 16:51:57.388
1.9045875,1.1492168,8.942344,2018-12-11 16:51:57.542
1.3587095,0.94810385,8.329428,2018-12-11 16:51:57.704
1.210269,-0.046686932,8.406042,2018-12-11 16:51:57.863
1.3156139,-1.0714053,12.236765,2018-12-11 16:51:58.022
0.961272,-0.41060558,10.024523,2018-12-11 16:51:58.183
0.93732995,0.22984336,9.646238,2018-12-11 16:51:58.345
0.39624038,-0.48243165,10.149021,2018-12-11 16:51:58.504
0.7457938,0.7374141,9.871294,2018-12-11 16:51:58.664
0.90381116,0.320823,9.694122,2018-12-11 16:51:58.91
1.1145009,0.51714754,9.904813,2018-12-11 16:51:58.987
1.4544775,-0.9516952,11.039664,2018-12-11 16:51:59.148
2.5893292,-1.8327614,8.702923,2018-12-11 16:51:59.308
2.6084828,-3.6511576,8.415619,2018-12-11 16:51:59.468
3.2070332,-4.1683054,8.090008,2018-12-11 16:51:59.631
3.4081461,-3.1292217,8.3868885,2018-12-11 16:51:59.79
