timestamp,movement,activity index,device_id,location
2019-03-01 14:06:37,0,0,51907a2f2e7fb94d, Chula01
2019-03-01 14:24:27,0,0,198063d93970f3b4, Chula02
2019-03-01 14:24:39,15,3,198063d93970f3b4,Chula06
2019-03-01 14:24:50,0,0,198063d93970f3b4,Chula06
2019-03-01 14:24:51,4,2,198063d93970f3b4,Chula06
2019-03-01 14:24:55,0,0,198063d93970f3b4,Chula06
2019-03-01 14:39:09,0,0,198063d93970f3b4,Chula09
2019-03-01 14:39:17,3,2,198063d93970f3b4,Chula13
2019-03-01 14:39:22,0,0,198063d93970f3b4,Chula13
2019-03-01 14:39:32,15,3,198063d93970f3b4,Chula13
2019-03-01 14:40:02,5,2,198063d93970f3b4,Chula09
2019-03-01 14:40:05,30,3,198063d93970f3b4,Chula09
2019-03-01 14:40:05,10,2,198063d93970f3b4,Chula13
2019-03-01 14:40:19,33,3,198063d93970f3b4,Chula13
2019-03-01 14:40:49,0,0,198063d93970f3b4,Chula09
2019-03-01 14:41:05,1,1,198063d93970f3b4,Chula11
2019-03-01 14:41:50,0,0,198063d93970f3b4,Chula09
2019-03-01 14:43:16,5,2,198063d93970f3b4,Chula11
2019-03-01 14:43:30,0,0,198063d93970f3b4,Chula13
2019-03-01 14:44:22,1,1,198063d93970f3b4,Chula11
2019-03-01 14:45:02,5,2,198063d93970f3b4,Chula13
2019-03-01 14:45:29,0,0,198063d93970f3b4,Chula09
2019-03-01 14:46:15,1,1,198063d93970f3b4,Chula14
2019-03-01 14:46:17,5,2,198063d93970f3b4,Chula11
2019-03-01 14:46:56,0,0,198063d93970f3b4,Chula13
2019-03-01 14:46:58,2,1,198063d93970f3b4,Chula13
2019-03-01 14:47:03,1,1,198063d93970f3b4,Chula13
2019-03-01 14:47:05,4,2,198063d93970f3b4,Chula11
2019-03-01 14:47:11,2,1,198063d93970f3b4,Chula11
2019-03-01 14:47:14,8,2,198063d93970f3b4,Chula11
2019-03-01 14:47:21,6,2,198063d93970f3b4,Chula11
2019-03-01 14:47:28,2,1,198063d93970f3b4,Chula11
2019-03-01 14:47:30,7,2,198063d93970f3b4,Chula11
2019-03-01 14:47:41,6,2,198063d93970f3b4,Chula11
2019-03-01 14:47:43,4,2,198063d93970f3b4,Chula11
2019-03-01 14:47:54,2,1,198063d93970f3b4,Chula11
2019-03-01 14:47:57,5,2,198063d93970f3b4,Chula11
2019-03-01 14:47:59,3,2,198063d93970f3b4,Chula11
2019-03-01 14:48:01,7,2,198063d93970f3b4,Chula11
2019-03-01 14:48:05,9,2,198063d93970f3b4,Chula11
2019-03-01 14:48:08,4,2,198063d93970f3b4,Chula11
2019-03-01 14:48:10,3,2,198063d93970f3b4,Chula11
2019-03-01 14:48:13,4,2,198063d93970f3b4,Chula11
2019-03-01 14:48:15,3,2,198063d93970f3b4,Chula11
2019-03-01 14:48:20,8,2,198063d93970f3b4,Chula11
2019-03-01 14:48:35,1,1,198063d93970f3b4,Chula06
2019-03-01 14:48:36,3,2,198063d93970f3b4,Chula06
2019-03-01 14:48:39,1,1,198063d93970f3b4,Chula11
2019-03-01 14:48:48,5,2,198063d93970f3b4,Chula06
2019-03-01 14:49:04,6,2,198063d93970f3b4,Chula12
2019-03-01 14:49:08,3,2,198063d93970f3b4,Chula11
2019-03-01 14:49:57,5,2,198063d93970f3b4,Chula07
2019-03-01 14:50:01,3,2,198063d93970f3b4,Chula07
2019-03-01 14:50:03,4,2,198063d93970f3b4,Chula08
2019-03-01 14:50:05,1,1,198063d93970f3b4,Chula11
2019-03-01 14:50:16,5,2,198063d93970f3b4,Chula11
2019-03-01 14:50:19,9,2,198063d93970f3b4,Chula11
2019-03-01 14:50:21,0,0,198063d93970f3b4,Chula11
2019-03-01 14:50:25,6,2,198063d93970f3b4,Chula11
2019-03-01 14:50:44,6,2,198063d93970f3b4,Chula11
2019-03-01 14:50:48,3,2,198063d93970f3b4,Chula11
2019-03-01 14:50:52,6,2,198063d93970f3b4,Chula11
2019-03-01 14:51:02,3,2,198063d93970f3b4,Chula11
2019-03-01 14:51:06,6,2,198063d93970f3b4,Chula11
2019-03-01 14:51:37,1,1,198063d93970f3b4,Chula06
2019-03-01 14:51:40,0,0,198063d93970f3b4,Chula06
