,timestamp,x,y,z,label
81,2019-03-05 11:18:42.627000,-6.657,-8.449,9.471,1
82,2019-03-05 11:18:42.687000,-6.657,-8.449,9.471,1
83,2019-03-05 11:18:42.747000,-6.657,-8.449,9.215,1
84,2019-03-05 11:18:42.810000,-6.657,-8.449,9.215,1
85,2019-03-05 11:18:42.866000,-6.657,-8.449,9.215,1
86,2019-03-05 11:18:42.956000,-6.657,-8.449,9.471,1
87,2019-03-05 11:18:43.016000,-6.657,-8.449,9.471,1
88,2019-03-05 11:18:43.076000,-6.657,-8.449,9.471,1
89,2019-03-05 11:18:43.136000,-6.657,-8.449,9.471,1
90,2019-03-05 11:18:43.196000,-6.657,-8.449,9.215,1
91,2019-03-05 11:18:43.287000,-6.657,-8.449,9.471,1
92,2019-03-05 11:18:43.347000,-6.657,-8.449,9.471,1
93,2019-03-05 11:18:43.407000,-6.657,-8.449,9.471,1
94,2019-03-05 11:18:43.467000,-6.657,-8.449,9.471,1
95,2019-03-05 11:18:43.527000,-6.657,-8.449,9.471,1
96,2019-03-05 11:18:43.617000,-6.657,-8.449,9.471,1
97,2019-03-05 11:18:43.677000,-6.657,-8.449,9.471,1
98,2019-03-05 11:18:43.737000,-6.657,-8.449,9.471,1
99,2019-03-05 11:18:43.797000,-6.657,-8.449,9.471,1
100,2019-03-05 11:18:43.857000,-6.657,-8.449,9.471,1
101,2019-03-05 11:18:43.947000,-6.657,-8.449,9.471,1
102,2019-03-05 11:18:44.007000,-6.657,-8.449,9.471,1
103,2019-03-05 11:18:44.067000,-6.657,-8.449,9.471,1
104,2019-03-05 11:18:44.127000,-6.657,-8.449,9.471,1
105,2019-03-05 11:18:44.187000,-6.657,-8.449,9.471,1
106,2019-03-05 11:18:44.277000,-6.657,-8.449,9.471,1
107,2019-03-05 11:18:44.337000,-6.657,-8.449,9.471,1
108,2019-03-05 11:18:44.397000,-6.657,-8.449,9.471,1
109,2019-03-05 11:18:44.457000,-6.657,-8.449,9.471,1
110,2019-03-05 11:18:44.516000,-6.657,-8.449,9.471,1
111,2019-03-05 11:18:44.607000,-6.657,-8.449,9.471,1
112,2019-03-05 11:18:44.667000,-6.657,-8.449,9.471,1
113,2019-03-05 11:18:44.727000,-6.657,-8.449,9.471,1
114,2019-03-05 11:18:44.787000,-6.657,-8.449,9.471,1
115,2019-03-05 11:18:44.847000,-6.657,-8.449,9.471,1
116,2019-03-05 11:18:44.937000,-6.657,-8.449,9.471,1
117,2019-03-05 11:18:44.997000,-6.657,-8.449,9.471,1
118,2019-03-05 11:18:45.057000,-6.657,-8.449,9.471,1
119,2019-03-05 11:18:45.116000,-6.657,-8.449,9.471,1
120,2019-03-05 11:18:45.177000,-6.657,-8.449,9.471,1
121,2019-03-05 11:18:45.267000,-6.657,-8.449,9.471,1
122,2019-03-05 11:18:45.327000,-6.657,-8.449,9.215,1
123,2019-03-05 11:18:45.387000,-6.657,-8.449,9.215,1
124,2019-03-05 11:18:45.447000,-6.657,-8.449,9.215,1
125,2019-03-05 11:18:45.507000,-6.657,-8.449,9.471,1
126,2019-03-05 11:18:45.597000,-6.657,-8.449,9.215,1
127,2019-03-05 11:18:45.657000,-6.657,-8.449,9.215,1
128,2019-03-05 11:18:45.717000,-6.657,-8.449,9.215,1
129,2019-03-05 11:18:45.777000,-6.657,-8.449,9.471,1
130,2019-03-05 11:18:45.837000,-6.657,-8.449,9.471,1
131,2019-03-05 11:18:45.927000,-6.657,-8.449,9.471,1
132,2019-03-05 11:18:45.987000,-6.657,-8.449,9.471,1
133,2019-03-05 11:18:46.047000,-6.657,-8.449,9.215,1
134,2019-03-05 11:18:46.107000,-6.657,-8.449,9.471,1
135,2019-03-05 11:18:46.167000,-6.657,-8.449,9.471,1
136,2019-03-05 11:18:46.257000,-6.657,-8.449,9.471,1
137,2019-03-05 11:18:46.316000,-6.657,-8.449,9.215,1
138,2019-03-05 11:18:46.377000,-6.657,-8.449,9.215,1
139,2019-03-05 11:18:46.437000,-6.657,-8.449,9.471,1
140,2019-03-05 11:18:46.497000,-6.657,-8.449,9.471,1
141,2019-03-05 11:18:46.587000,-6.657,-8.449,9.215,1
142,2019-03-05 11:18:46.647000,-6.657,-8.449,9.215,1
143,2019-03-05 11:18:46.707000,-6.657,-8.449,9.471,1
