,ID,date,time,x,y,z,HR,y_pred
0,11,19-04-13,06:15:20.529000,0.6708747855917667,0.3232931726907631,0.29906054279749483,82.00000000,1
1,11,19-04-13,06:15:20.892000,0.5834991423670669,0.39363271266885724,0.26513569937369524,83.00000000,1
2,11,19-04-13,06:15:21.233000,0.524229845626072,0.432092004381161,0.2980862908837857,81.00000000,1
3,11,19-04-13,06:15:21.557000,0.4766518010291595,0.4119751734209566,0.23695198329853867,78.00000000,1
4,11,19-04-13,06:15:21.879000,0.43207547169811317,0.3994523548740416,0.3355601948503828,78.00000000,1
5,11,19-04-13,06:15:22.221000,0.43934819897084043,0.3562212486308872,0.2855254001391789,88.00000000,1
6,11,19-04-13,06:15:22.564000,0.4308747855917667,0.31146403797006206,0.3124217118997913,87.00000000,1
7,11,19-04-13,06:15:22.890000,0.3768782161234991,0.1976998904709748,0.27466945024356304,83.00000000,1
8,11,19-04-13,06:15:23.227000,0.36030874785591765,0.16984300839722527,0.2428670842032012,83.00000000,1
9,11,19-04-13,06:15:23.572000,0.42271012006861064,0.14556407447973715,0.24843423799582465,81.00000000,1
10,11,19-04-13,06:15:23.897000,0.5152281303602058,0.18298649142022635,0.23695198329853867,82.00000000,1
11,11,19-04-13,06:15:24.224000,0.4833173241852487,0.17214311792625045,0.3137439109255394,80.00000000,1
12,11,19-04-13,06:15:24.551000,0.49302915951972553,0.13837166849215043,0.2994432846207377,80.00000000,1
13,11,19-04-13,06:15:24.880000,0.5172349914236707,0.13322380430814162,0.33256784968684766,149.00000000,1
14,11,19-04-13,06:15:25.213000,0.5577015437392796,0.10259218692953631,0.34279749478079335,87.00000000,1
15,11,19-04-13,06:15:25.546000,0.559828473413379,0.16546184738955824,0.30549756437021575,79.00000000,1
16,11,19-04-13,06:15:25.916000,0.5784219554030875,0.14457831325301204,0.4046276965901183,80.00000000,1
17,11,19-04-13,06:15:26.253000,0.5795197255574613,0.14735304855786782,0.3438065414057064,81.00000000,1
18,11,19-04-13,06:15:26.589000,0.5608233276157805,0.16564439576487772,0.37254697286012534,86.00000000,1
19,11,19-04-13,06:15:26.925000,0.5648713550600343,0.15801387367652428,0.3828810020876827,83.00000000,1
20,11,19-04-13,06:15:27.262000,0.5669982847341337,0.1144943410003651,0.3517397355601949,89.00000000,1
21,11,19-04-13,06:15:27.598000,0.6004116638078902,0.09580138736765242,0.3426583159359778,80.00000000,1
22,11,19-04-13,06:15:27.941000,0.5832246998284734,0.08952172325666302,0.3921016005567154,79.00000000,1
23,11,19-04-13,06:15:28.279000,0.5547855917667238,0.08218327856882074,0.4297842727905359,82.00000000,1
24,11,19-04-13,06:15:28.619000,0.5380445969125214,0.08371668492150419,0.42216423103688244,82.00000000,1
25,11,19-04-13,06:15:28.957000,0.5514922813036021,0.09660460021905803,0.3970772442588727,84.00000000,1
26,11,19-04-13,06:15:29.315000,0.5310806174957118,0.10781307046367289,0.3430062630480168,84.00000000,1
27,11,19-04-13,06:15:29.665000,0.5541680960548885,0.1258853596202994,0.2338204592901879,83.00000000,1
28,11,19-04-13,06:15:30.011000,0.6263807890222984,0.15323110624315442,0.35052192066805854,83.00000000,1
29,11,19-04-13,06:15:30.357000,0.5770840480274442,0.1629791894852136,0.5259220598469033,82.00000000,1
30,11,19-04-13,06:15:30.707000,0.5465523156089194,0.16768893756845565,0.284481558803062,80.00000000,1
31,11,19-04-13,06:15:31.052000,0.6255917667238422,0.12106608251186562,0.22199025748086293,78.00000000,1
32,11,19-04-13,06:15:31.398000,0.4143739279588336,0.3192771084337349,0.04558107167710512,78.00000000,1
33,11,19-04-13,06:15:31.746000,0.5573241852487135,0.359671412924425,0.22094641614474608,77.00000000,1
34,11,19-04-13,06:15:32.098000,0.5162161234991424,0.28904709748083246,0.24182324286708423,78.00000000,1
35,11,19-04-13,06:15:32.447000,0.5053584905660378,0.3589996349032494,0.2576548364648574,80.00000000,1
36,11,19-04-13,06:15:32.798000,0.49508027444253855,0.3532384081781672,0.24112734864300633,81.00000000,1
37,11,19-04-13,06:15:33.150000,0.4991869639794168,0.3550383351588171,0.2500695894224078,81.00000000,1
38,11,19-04-13,06:15:33.510000,0.49782161234991423,0.354315443592552,0.2466945024356298,81.00000000,1
39,11,19-04-13,06:15:33.864000,0.4971355060034305,0.35468054034319096,0.24739039665970775,80.00000000,1
