,ID,active count,date,from,inactive count,sit,sit count,sleep,sleep count,stand,stand count,to,total,total count,transition count,walk,walk count
40,11,0,19-04-13,16:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,17:0:0,0:0:00,10,0,0:0:00,0
41,11,0,19-04-13,17:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,18:0:0,0:0:00,10,0,0:0:00,0
42,11,0,19-04-13,18:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,19:0:0,0:0:00,10,0,0:0:00,0
43,11,0,19-04-13,19:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,20:0:0,0:0:00,10,0,0:0:00,0
44,11,0,19-04-13,20:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,21:0:0,0:0:00,10,0,0:0:00,0
45,11,0,19-04-13,21:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,22:0:0,0:0:00,10,0,0:0:00,0
46,11,0,19-04-13,22:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,23:0:0,0:0:00,10,0,0:0:00,0
47,11,0,19-04-13,23:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,24:0:0,0:0:00,10,0,0:0:00,0
48,11,0,19-04-12,0:0:0,10,0:0:00,2,0:42:59,8,0:0:00,0,1:0:0,0:42:59,10,0,0:0:00,0
49,11,0,19-04-12,1:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,2:0:0,0:0:00,10,0,0:0:00,0
50,11,0,19-04-12,2:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,3:0:0,0:0:00,10,0,0:0:00,0
51,11,0,19-04-12,3:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,4:0:0,0:0:00,10,0,0:0:00,0
52,11,0,19-04-12,4:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,5:0:0,0:0:00,10,0,0:0:00,0
53,11,0,19-04-12,5:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,6:0:0,0:0:00,10,0,0:0:00,0
54,11,0,19-04-12,6:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,7:0:0,0:0:00,10,0,0:0:00,0
55,11,0,19-04-12,7:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,8:0:0,0:0:00,10,0,0:0:00,0
56,11,0,19-04-12,8:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,9:0:0,0:0:00,10,0,0:0:00,0
57,11,0,19-04-12,9:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,10:0:0,0:0:00,10,0,0:0:00,0
58,11,0,19-04-12,10:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,11:0:0,0:0:00,10,0,0:0:00,0
59,11,0,19-04-12,11:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,12:0:0,0:0:00,10,0,0:0:00,0
60,11,0,19-04-12,12:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,13:0:0,0:0:00,10,0,0:0:00,0
61,11,0,19-04-12,13:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,14:0:0,0:0:00,10,0,0:0:00,0
62,11,0,19-04-12,14:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,15:0:0,0:0:00,10,0,0:0:00,0
63,11,0,19-04-12,15:0:0,10,0:0:00,2,0:27:14,8,0:0:00,0,16:0:0,0:27:14,10,0,0:0:00,0
64,11,0,19-04-12,16:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,17:0:0,0:0:00,10,0,0:0:00,0
65,11,0,19-04-12,17:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,18:0:0,0:0:00,10,0,0:0:00,0
66,11,0,19-04-12,18:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,19:0:0,0:0:00,10,0,0:0:00,0
67,11,0,19-04-12,19:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,20:0:0,0:0:00,10,0,0:0:00,0
68,11,0,19-04-12,20:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,21:0:0,0:0:00,10,0,0:0:00,0
69,11,0,19-04-12,21:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,22:0:0,0:0:00,10,0,0:0:00,0
70,11,0,19-04-12,22:0:0,10,0:0:00,2,0:0:00,8,0:0:00,0,23:0:0,0:0:00,10,0,0:0:00,0
