,ID,date,from,to,y_pred
0,11,19-04-10,03:45:31.425000,03:57:46.426000,1
1,11,19-04-10,03:57:47.175000,4:0:0.0,0
2,11,19-04-10,4:0:0.0,04:49:15.951000,0
3,11,19-04-10,04:49:35.470000,5:0:0.0,1
4,11,19-04-10,23:0:0.0,23:58:24.991000,1
5,11,19-04-11,00:00:00.000000,1:0:0.0,1
6,11,19-04-11,23:0:0.0,23:15:39.703000,1
7,11,19-04-12,00:17:00.585000,1:0:0.0,1
8,11,19-04-12,15:0:0.0,15:27:14.547000,1
9,11,19-04-13,06:15:20.529000,06:15:33.864000,1
