2562-01-14 165146,,,,,,,,,,,,
Start Time,2562/01/14 16:51:46,Timestamp,1547459506234,,,,,,,,,
sensor ID,timestamp (ms),Sample Count,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,mark
5be990fc c4796ef,1547459506280,0,,,,,,,,,,0
5be990fc c4796ef,1547459506280,0,3839.0,5631.0,9983.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547459506291,1,3839.0,5631.0,9983.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547459506351,2,3839.0,5631.0,9983.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547459506352,3,3839.0,5631.0,9727.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547459506381,4,3839.0,5631.0,9983.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547459506441,5,4095.0,5631.0,9983.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547459506442,6,3839.0,5631.0,9727.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547459506561,7,3839.0,5631.0,9983.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547459506562,8,3839.0,5631.0,9983.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547459506591,9,3839.0,5631.0,9983.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547459506592,10,3839.0,5375.0,9983.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547459506593,11,3839.0,5375.0,9983.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547459506651,12,3839.0,5375.0,9983.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547459506652,13,3839.0,5631.0,9983.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547459506711,14,3839.0,5631.0,9983.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547459506712,15,3839.0,5631.0,9983.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547459506741,16,3839.0,5631.0,9727.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547459506771,17,3839.0,5887.0,9727.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547459506802,18,3839.0,5887.0,9983.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547459506952,19,3583.0,6143.0,9471.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547459506954,20,3839.0,5887.0,9727.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547459506955,21,3839.0,5887.0,9983.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5be990fc c4796ef,1547459506956,22,3839.0,5887.0,9983.0,0.0,0.0,0.0,0.0,0.0,0.0,0
