,date,time,x,y,z,label
74,2018-10-20,11:21:33,8.89445925,-3.2178071,1.89501062,walking
75,2018-10-20,11:21:34,9.8365775,-3.62721558,2.03267726,walking
76,2018-10-20,11:21:35,9.0318866,-3.35020646,1.66444898,walking
77,2018-10-20,11:21:36,9.16261,-3.3782186,1.6424224,walking
78,2018-10-20,11:21:37,9.461885,-3.29442158,1.78248315,walking
79,2018-10-20,11:21:38,9.56603275,-3.60327362,1.32638776,walking
80,2018-10-20,11:21:39,9.3124871,-3.49385858,0.80564889,walking
81,2018-10-20,11:21:40,8.9100215,-3.04542455,0.16699557,walking
82,2018-10-20,11:21:41,9.4894185,-3.35307945,1.15161102,walking
83,2018-10-20,11:21:42,8.948329,-3.58292285,1.6891093,walking
84,2018-10-20,11:21:43,9.8813492,-3.56376928,1.9393034,walking
85,2018-10-20,11:21:44,8.76996088,-3.70981552,1.98479318,walking
86,2018-10-20,11:21:45,8.930372,-3.29801285,1.851915,walking
87,2018-10-20,11:21:46,8.9567085,-3.33033458,1.90339038,walking
88,2018-10-20,11:21:47,9.0395478,-3.62410316,1.93834571,walking
89,2018-10-20,11:21:48,8.97705938,-3.47757795,1.77530058,walking
90,2018-10-20,11:21:49,8.876503,-3.47398662,1.79086287,walking
91,2018-10-20,11:21:50,9.7204585,-3.93965885,2.44447995,walking
92,2018-10-21,17:39:37,9.3948476,-2.35828858,1.18393272,walking
93,2018-10-21,17:39:38,9.6582098,-2.65229663,0.87340479,walking
94,2018-10-21,17:39:39,9.8688995,-5.40969877,2.09851781,walking
95,2018-10-21,17:39:40,11.20935325,-5.56053352,0.94092125,walking
96,2018-10-21,17:39:41,9.828198,-4.7034092,1.19710086,walking
97,2018-10-21,17:39:42,11.8778737,-5.28974928,-0.12210429,walking
98,2018-10-21,17:39:43,10.9148665,-4.47476298,0.57281275,walking
99,2018-10-21,17:39:44,9.90361525,-4.7668556,1.23181678,walking
100,2018-10-21,17:39:45,11.15189225,-4.8470612,0.54527942,walking
101,2018-10-21,17:39:46,9.752302,-4.42304832,1.01633862,walking
102,2018-10-21,17:39:47,9.83627832,-4.92247868,1.5275007,walking
103,2018-10-21,17:39:48,10.0804865,-4.92846425,0.96007488,walking
104,2018-10-21,17:39:49,9.47265888,-3.96599508,1.00556474,walking
105,2018-10-21,17:39:50,10.70016652,-5.06948262,1.23157733,walking
106,2018-10-21,17:39:51,9.59087268,-4.07612835,1.18393271,walking
107,2018-10-21,17:39:52,9.995792,-4.6435542,0.8379706,walking
108,2018-10-21,17:39:53,10.68502313,-4.75249032,1.10013564,walking
109,2018-10-21,17:39:54,9.00818392,-3.87908556,1.34937205,walking
110,2018-10-21,17:39:55,9.388862,-4.36462962,1.19231248,walking
111,2018-10-21,17:39:56,9.15782145,-4.58729062,0.79248078,walking
112,2018-10-21,17:39:57,10.562919,-4.50947897,1.01184948,walking
113,2018-10-21,17:39:58,9.4046638,-4.44124412,1.51600853,walking
114,2018-10-21,17:41:42,9.2332387,-5.41903622,2.17489272,walking
115,2018-10-21,17:41:43,10.941202,-5.2899887,-0.19093757,walking
116,2018-10-21,17:41:44,11.00794097,-5.23971048,0.9998785,walking
117,2018-10-21,17:41:45,12.24215175,-6.41765758,0.22565351,walking
118,2018-10-21,17:41:46,12.8403428,-4.90188866,0.18650833,walking
119,2018-10-21,17:41:47,12.03265932,-4.58250218,-0.65960258,walking
120,2018-10-21,17:41:48,13.01547882,-5.48990428,-0.12509704,walking
121,2018-10-21,17:41:49,11.020211,-4.0485952,-0.00658406,walking
122,2018-10-21,17:41:50,10.8828437,-4.76398258,0.4060566,walking
123,2018-10-21,17:41:51,9.72015958,-4.45201812,0.64164604,walking
124,2018-10-21,17:41:52,10.1223855,-5.08049595,0.69581486,walking
125,2018-10-21,17:41:53,9.66539238,-4.0318357,0.53779756,walking
126,2018-10-21,17:41:54,11.52149675,-3.96240378,0.48751932,walking
127,2018-10-21,17:41:55,10.5258684,-4.4211329,0.565271,walking
128,2018-10-21,17:41:56,9.995493,-4.9188874,1.18303494,walking
129,2018-10-21,17:41:57,10.85950025,-4.26167905,1.1851298,walking
130,2018-10-21,17:41:58,9.08120688,-4.13718062,0.43155483,walking
131,2018-10-21,17:41:59,10.4291425,-4.61266912,0.49536035,walking
132,2018-10-21,17:42:0,10.532991,-4.711789,0.82420391,walking
133,2018-10-21,17:42:1,10.901698,-4.95719472,1.08726686,walking
134,2018-10-21,17:42:2,11.10969425,-5.00627568,1.22223996,walking
135,2018-10-21,17:42:3,9.8930808,-4.17309358,1.18082033,walking
136,2018-10-21,17:43:52,10.68292793,-5.8059391,0.93643212,walking_up
137,2018-10-21,17:43:53,10.30584138,-3.9647981,2.02549463,walking_up
138,2018-10-21,17:43:54,9.3768908,-3.74692562,1.5006856,walking_up
139,2018-10-21,17:43:55,9.7034005,-3.85346772,1.70467162,walking_up
140,2018-10-21,17:43:56,9.29189675,-3.75889672,0.92176765,walking_up
141,2018-10-21,17:43:57,10.579678,-3.66911412,0.59735334,walking_up
142,2018-10-21,17:43:58,8.83939265,-3.56017792,1.33476745,walking_up
143,2018-10-21,17:43:59,8.70364124,-3.973896,1.61656499,walking_up
144,2018-10-21,17:44:0,8.2061264,-4.07134,0.51475337,walking_up
145,2018-10-21,17:44:1,7.38970342,-4.13239222,0.48901568,walking_up
146,2018-10-21,17:44:2,9.39843875,-3.56257212,0.9864111,walking_up
147,2018-10-21,17:44:3,9.80593206,-3.17519034,0.96917286,walking_up
148,2018-10-21,17:44:4,10.12627625,-4.34068768,1.5406688,walking_up
149,2018-10-21,17:44:5,9.67856035,-3.75769958,1.32159935,walking_up
150,2018-10-21,17:44:6,10.72452737,-3.80199235,0.78410106,walking_up
151,2018-10-21,17:44:7,9.9543726,-3.41173736,1.01992994,walking_up
152,2018-10-21,17:44:8,9.7635545,-3.5098997,0.45429978,walking_up
153,2018-10-21,17:44:9,10.16937175,-4.0785227,1.24498484,walking_up
154,2018-10-21,17:44:10,10.01973438,-4.00310525,1.17914435,walking_up
155,2018-10-21,17:44:11,9.9170227,-3.74501034,0.95792008,walking_up
156,2018-10-21,17:44:12,8.8992476,-4.1347863,0.04608838,walking_up
157,2018-10-21,17:44:13,10.0137485,-3.5517983,-0.41569329,walking_up
158,2018-10-21,17:46:5,9.05008262,-4.03183568,1.06302555,standing
159,2018-10-21,17:46:6,8.759187,-4.09887322,1.39581962,standing
160,2018-10-21,17:46:7,8.77474925,-4.16591102,1.66636435,standing
161,2018-10-21,17:46:8,8.10676714,-4.08474758,2.06763254,standing
162,2018-10-21,17:46:9,8.6322945,-4.2521024,1.91416423,standing
163,2018-10-21,17:46:10,8.69454362,-3.96719215,1.93212078,standing
164,2018-10-21,17:46:11,8.662222,-3.9863458,2.0003555,standing
165,2018-10-21,17:46:12,8.6545604,-3.99544372,1.97473756,standing
166,2018-10-21,17:46:13,8.663419,-3.9899371,1.9452889,standing
167,2018-10-21,17:46:14,8.67419287,-3.89177485,1.92613527,standing
168,2018-10-21,17:46:15,8.86692588,-3.7098155,0.78769237,standing
169,2018-10-21,17:46:16,8.9658064,-3.62290604,0.7891289,standing
170,2018-10-21,17:46:17,8.926781,-3.7780503,0.79607208,standing
171,2018-10-21,17:46:18,8.890868,-3.8582561,0.87268652,standing
172,2018-10-21,17:46:19,8.86932,-3.9025488,0.8655039,standing
173,2018-10-21,17:46:20,8.862377,-3.8833952,0.88968536,standing
174,2018-10-21,17:46:21,8.85016675,-3.9025488,0.9840169,standing
175,2018-10-21,17:46:22,8.75439875,-4.06655138,1.18512985,standing
176,2018-10-21,17:46:23,8.677784,-4.38138908,1.46525148,standing
177,2018-10-21,17:46:24,8.6957408,-4.24156782,1.3982138,standing
178,2018-10-21,17:46:25,8.69095225,-4.19105018,1.36828625,standing
179,2018-10-21,17:46:26,8.6562365,-4.23773735,1.39222828,standing
180,2018-10-21,17:47:54,9.3014735,-4.14915155,1.00556474,standing
181,2018-10-21,17:47:55,8.9907062,-3.3142934,3.0722396,standing
182,2018-10-21,17:47:56,8.46589715,-3.59249962,1.25815305,standing
183,2018-10-21,17:47:57,9.3577375,-2.9628246,0.39893384,standing
184,2018-10-21,17:47:58,9.0405055,-3.4727896,1.04267485,standing
185,2018-10-21,17:47:59,8.689037,-4.03830008,0.67899562,standing
186,2018-10-21,17:48:0,8.73674137,-4.1922471,0.65481418,standing
187,2018-10-21,17:48:1,8.74242725,-4.19583848,0.6787562,standing
188,2018-10-21,17:48:2,8.75798975,-4.19823268,0.66558808,standing
189,2018-10-21,17:48:3,8.7773828,-4.14651796,0.65409591,standing
190,2018-10-21,17:48:4,8.7903115,-4.1479545,0.7086837,standing
191,2018-10-21,17:48:5,8.7891145,-4.1335893,0.6931214,standing
192,2018-10-21,17:48:6,8.81066225,-4.0174706,0.688333,standing
193,2018-10-21,17:48:7,8.8204784,-4.04979228,0.6703765,standing
194,2018-10-21,17:48:8,8.8130565,-4.03782125,0.6907272,standing
195,2018-10-21,17:48:9,8.8070705,-4.03542718,0.6895301,standing
196,2018-10-21,17:48:10,8.808268,-4.0569749,0.688333,standing
197,2018-10-21,17:48:11,8.81784475,-4.0521865,0.66678518,standing
198,2018-10-21,17:48:12,8.8166476,-4.0354271,0.68282634,standing
199,2018-10-21,17:48:13,8.821436,-4.0904937,0.6715736,standing
200,2018-10-21,17:48:14,8.7951,-4.0426097,0.6943185,standing
201,2018-10-21,17:48:15,8.8046765,-4.05936912,0.6811504,standing
202,2018-10-21,18:46:4,13.69124238,-6.54694445,0.05805939,running
203,2018-10-21,18:46:5,9.334753,-4.24204654,0.57149592,running
204,2018-10-21,18:46:6,9.76834275,-4.44124428,0.58298812,running
