date,time,x,y,z,heart rate,label
2018-10-20,11:21:19,-0.075417355,1.0079589,9.610325999999999,94.326065,walking
2018-10-20,11:21:20,0.032621,0.84156191,9.599552,94.16557,walking
2018-10-20,11:21:21,0.00933739,0.71778167,9.6792788,93.84459,walking
2018-10-20,11:21:22,0.02932897,0.56024321,9.68694025,93.60332,walking
2018-10-20,11:21:23,0.09696517,0.5626374,9.66060375,93.12077,walking
2018-10-20,11:21:24,0.12090719,0.5398925,9.66060375,92.357666,walking
2018-10-20,11:21:25,0.21547815,0.545878,9.6893345,91.29729,walking
2018-10-20,11:21:26,0.12258313,0.62488666,9.6390562,89.354095,walking
2018-10-20,11:21:27,9.0105783,-4.31165795,0.8834604,86.71722,walking
2018-10-20,11:21:28,9.64982975,-3.58292287,0.51624973,82.08887,walking
2018-10-20,11:21:29,9.36491975,-4.0665516,1.98838455,74.73161,walking
2018-10-20,11:21:30,9.4867849,-3.28795718,1.86843506,75.4558,walking
2018-10-20,11:21:31,9.34097825,-3.44286205,1.8710686,76.90419,walking
2018-10-20,11:21:32,8.89445925,-3.2178071,1.89501062,79.800964,walking
2018-10-20,11:21:33,9.8365775,-3.62721558,2.03267726,82.86216,walking
2018-10-20,11:21:34,9.0318866,-3.35020646,1.66444898,84.03406,walking
2018-10-20,11:21:35,9.16261,-3.3782186,1.6424224,84.96936,walking
2018-10-20,11:21:36,9.461885,-3.29442158,1.78248315,86.45309,walking
2018-10-20,11:21:37,9.56603275,-3.60327362,1.32638776,89.174286,walking
2018-10-20,11:21:38,9.3124871,-3.49385858,0.80564889,90.449165,walking
2018-10-20,11:21:39,8.9100215,-3.04542455,0.16699557,98.68976,walking
2018-10-20,11:21:40,9.4894185,-3.35307945,1.15161102,99.1747,walking
2018-10-20,11:21:41,8.948329,-3.58292285,1.6891093,100.14456,walking
2018-10-20,11:21:42,9.8813492,-3.56376928,1.9393034,102.0843,walking
2018-10-20,11:21:43,8.76996088,-3.70981552,1.98479318,102.07057,walking
2018-10-20,11:21:44,8.930372,-3.29801285,1.851915,101.49863,walking
2018-10-20,11:21:45,8.9567085,-3.33033458,1.90339038,100.35475,walking
2018-10-20,11:21:46,9.0395478,-3.62410316,1.93834571,98.06699,walking
2018-10-20,11:21:47,8.97705938,-3.47757795,1.77530058,93.87812,walking
2018-10-20,11:21:48,8.876503,-3.47398662,1.79086287,87.99498,walking
2018-10-20,11:21:49,9.7204585,-3.93965885,2.44447995,80.2253,walking
2018-10-21,18:45:53,-0.4381389,0.33339257,8.7340477,75.20047,running
2018-10-21,18:45:54,-0.04578911,1.2485762,9.15423,75.627426,running
2018-10-21,18:45:55,-0.18794483,1.47722238,9.4307605,76.481346,running
2018-10-21,18:45:56,-0.22816742,1.67809596,9.3637228,78.189186,running
