,ID,timestamp,x,y,z,HR,label,Milliseconds
0,2001,2019-01-16 13:58:47.956,0.24604144116754667,0.47543611892898674,0.5761825552074739,68.20528399999999,,956
1,2001,2019-01-16 13:58:48.117,0.2464312176046921,0.473881136773011,0.5764286028829877,68.20528399999999,,117
2,2001,2019-01-16 13:58:48.278,0.24623630903650906,0.4744642550815019,0.5737220769108119,68.20528399999999,,278
3,2001,2019-01-16 13:58:48.439,0.24604144116754667,0.473881136773011,0.5744602194235124,67.36548,,439
4,2001,2019-01-16 13:58:48.6,0.24682095334261678,0.4725205273865322,0.5754444101255679,67.36548,,6
5,2001,2019-01-16 13:58:48.76,0.2470158619108,0.4746586278509989,0.572245787260841,67.36548,,76
6,2001,2019-01-16 13:58:48.922,0.24721072977976233,0.47757421939345335,0.5737220769108119,67.36548,,922
7,2001,2019-01-16 13:58:49.08,0.24526188829325585,0.4699936813830716,0.575198362450054,67.36548,,08
8,2001,2019-01-16 13:58:49.243,0.24604144116754667,0.4750473733899928,0.5717536919098133,67.36548,,243
9,2001,2019-01-16 13:58:49.402,0.24623630903650906,0.4719374090780413,0.5702774058567301,67.36548,,402
10,2001,2019-01-16 13:58:49.562,0.24604144116754667,0.47349239123401704,0.5715076442342995,66.94556999999999,,562
11,2001,2019-01-16 13:58:49.723,0.24214371749531305,0.47232615461703525,0.5729839354257937,66.94556999999999,,723
12,2001,2019-01-16 13:58:49.884,0.2454567968614389,0.4721317818475383,0.5707695012077578,66.94556999999999,,884
13,2001,2019-01-16 13:58:50.045,0.24623630903650906,0.4750473733899928,0.5702774058567301,66.94556999999999,,045
14,2001,2019-01-16 13:58:50.205,0.24370278254467403,0.4771854738544594,0.5739681245863258,66.94556999999999,,205
15,2001,2019-01-16 13:58:50.366,0.24467724398714807,0.4779629730509324,0.5678169291015915,66.94556999999999,,366
16,2001,2019-01-16 13:58:50.526,0.24506702042429346,0.47543611892898674,0.5734760292352981,66.94556999999999,,526
17,2001,2019-01-16 13:58:50.687,0.24526188829325585,0.48321103782735053,0.5663406430485083,66.89168000000001,,687
18,2001,2019-01-16 13:58:50.848,0.2470158619108,0.47349239123401704,0.5719997395853271,66.89168000000001,,848
19,2001,2019-01-16 13:58:51.009,0.24448237611818563,0.47174303630854436,0.5727378877502798,66.89168000000001,,009
20,2001,2019-01-16 13:58:51.169,0.24448237611818563,0.4709655452305565,0.5739681245863258,66.89168000000001,,169
21,2001,2019-01-16 13:58:51.332,0.2448721118561103,0.4727149001560292,0.570523453532244,66.89168000000001,,332
22,2001,2019-01-16 13:58:51.49,0.24740563834794538,0.47349239123401704,0.5697853105057024,66.89168000000001,,49
23,2001,2019-01-16 13:58:51.651,0.2456516647304013,0.47232615461703525,0.5742141717479986,66.89168000000001,,651
24,2001,2019-01-16 13:58:51.812,0.24662608547365455,0.473881136773011,0.5678169291015915,66.88388,,812
25,2001,2019-01-16 13:58:51.972,0.24506702042429346,0.474075509542508,0.5707695012077578,66.88388,,972
26,2001,2019-01-16 13:58:52.134,0.24467724398714807,0.47038242692206556,0.572245787260841,66.88388,,134
27,2001,2019-01-16 13:58:52.294,0.24370278254467403,0.47582486446798067,0.572491840074766,66.88388,,294
28,2001,2019-01-16 13:58:52.454,0.24292325001999354,0.4701880541525686,0.5744602194235124,66.88388,,454
29,2001,2019-01-16 13:58:52.615,0.2448721118561103,0.47951795520690815,0.5712615965587856,66.88388,,615
30,2001,2019-01-16 13:58:52.775,0.24526188829325585,0.4744642550815019,0.5744602194235124,66.88388,,775
31,2001,2019-01-16 13:58:52.936,0.24682095334261678,0.47815734582042935,0.575198362450054,67.4191,,936
32,2001,2019-01-16 13:58:53.097,0.24506702042429346,0.48068419182388994,0.5766746505585016,67.4191,,097
33,2001,2019-01-16 13:58:53.259,0.24526188829325585,0.47640798277647156,0.570523453532244,67.4191,,259
34,2001,2019-01-16 13:58:53.418,0.24623630903650906,0.47640798277647156,0.5710155488832717,67.4191,,418
35,2001,2019-01-16 13:58:53.58,0.24428746755000258,0.4783517185899263,0.5756904598564462,67.4191,,58
36,2001,2019-01-16 13:58:53.739,0.24604144116754667,0.47640798277647156,0.5697853105057024,67.4191,,739
37,2001,2019-01-16 13:58:53.902,0.24389767076324675,0.4766023555459685,0.5700313581812162,67.4191,,902
38,2001,2019-01-16 13:58:54.08,0.24526188829325585,0.4742698823120049,0.572491840074766,67.68670999999999,,08
39,2001,2019-01-16 13:58:54.222,0.2464312176046921,0.4742698823120049,0.5678169291015915,67.68670999999999,,222
40,2001,2019-01-16 13:58:54.382,0.2448721118561103,0.4746586278509989,0.5700313581812162,67.68670999999999,,382
41,2001,2019-01-16 13:58:54.542,0.24389767076324675,0.47485300062049585,0.5683090244526192,67.68670999999999,,542
42,2001,2019-01-16 13:58:54.703,0.24428746755000258,0.4719374090780413,0.572245787260841,67.68670999999999,,703
43,2001,2019-01-16 13:58:54.864,0.24721072977976233,0.4744642550815019,0.5715076442342995,67.68670999999999,,864
44,2001,2019-01-16 13:58:55.029,0.2470158619108,0.47601923723747763,0.572245787260841,67.82051,,029
45,2001,2019-01-16 13:58:55.185,0.24682095334261678,0.473686764003514,0.5749523147745401,67.82051,,185
46,2001,2019-01-16 13:58:55.345,0.2483800590911986,0.4684386992270959,0.5712615965587856,67.82051,,345
47,2001,2019-01-16 13:58:55.506,0.24506702042429346,0.4789348368984172,0.5737220769108119,67.82051,,506
48,2001,2019-01-16 13:58:55.668,0.24896470339730642,0.46882744476608984,0.5678169291015915,67.82051,,668
